#crosssection1 uncertainty1 Q21 XXXX1 x1 z1 pt1 crosssection2 uncertainty2 Q22 XXXX2 x2 z2 pt2 crosssection3 uncertainty3 Q23 XXXX3 x3 z3 pt3  
3843863.578662 120474.207151 5.794739 3.076911 0.001363 0.068742 0.032675 14533429.188871 234257.844801 2.958750 3.419852 0.001873 0.070759 0.032870 3832535.886387 120296.560153 1.310725 3.019635 0.002350 0.063084 0.032971 
11571866.975186 120684.413125 5.591893 3.022964 0.001497 0.073776 0.127389 56136267.017652 265809.948448 2.884771 2.897696 0.001770 0.071475 0.137086 19107299.603035 155077.618598 1.349665 2.832050 0.002351 0.065141 0.139521 
3534239.989811 47160.943723 6.889955 3.336043 0.001466 0.079206 0.280517 55872583.514138 187514.063570 3.585634 2.802759 0.001699 0.073675 0.323545 39468197.151174 157600.689504 1.525600 2.747441 0.002130 0.068073 0.352420 
6203.260055 578.456983 8.686466 3.952824 0.001212 0.088584 0.556193 1338016.223249 8495.555150 4.967847 2.880523 0.001616 0.075850 0.675644 3037170.064504 12799.577351 1.936752 2.664575 0.001958 0.070542 0.772950 
529254.955739 18250.170888 5.290073 2.766830 0.001353 0.177373 0.033872 2268055.719957 37779.945634 2.294041 2.896608 0.001999 0.181744 0.033378 24543.333263 3930.078644 1.106636 3.387041 0.002879 0.109345 0.032444 
2887093.125580 24609.582030 4.587059 2.765192 0.001442 0.181826 0.139968 9966061.709161 45723.095760 2.359263 2.874117 0.001970 0.184204 0.137557 268927.805493 7510.895080 1.164790 3.218678 0.002773 0.120079 0.149075 
3433654.277850 18977.418120 4.785646 2.931119 0.001565 0.214191 0.329057 15135160.397962 39843.029912 2.584184 2.805586 0.001866 0.189097 0.343461 1708908.242937 13388.077443 1.292418 2.975437 0.002488 0.138326 0.376324 
84526.160928 871.728050 5.892184 3.265588 0.001550 0.259430 0.661469 801973.642377 2685.131109 3.221763 2.856070 0.001758 0.211573 0.744734 332683.533839 1729.422487 1.541604 2.817809 0.002176 0.160195 0.880017 
29735.192222 3746.282086 5.023285 2.387055 0.001295 0.511926 0.035440 164251.537988 8804.806637 2.077233 2.493551 0.001980 0.518941 0.033184 -999.000000 -999.000000 -999.000000 4.174230 -999.000000 -999.000000 -999.000000 
160947.627741 5032.071033 4.577273 2.464376 0.001299 0.517189 0.141295 740705.211540 10795.112515 2.126313 2.602309 0.001993 0.522428 0.137028 -999.000000 -999.000000 -999.000000 3.930627 -999.000000 -999.000000 -999.000000 
385770.853589 5508.764178 3.939413 2.517022 0.001456 0.510959 0.360990 1255721.887406 9938.851628 2.185713 2.648417 0.002009 0.525109 0.351527 1101.303416 294.335719 1.085972 3.618899 0.003027 0.443416 0.439602 
34933.793855 485.332033 4.250967 2.808633 0.001592 0.534928 0.746762 115582.917249 882.801183 2.449760 2.851718 0.001931 0.526725 0.816750 4274.855299 169.776193 1.263608 3.325103 0.002621 0.482962 1.243201 
-999.000000 -999.000000 -999.000000 1.984110 -999.000000 -999.000000 -999.000000 20767.435838 4427.632197 1.943464 2.512740 0.001942 0.895865 0.033044 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
17306.196531 2333.567064 4.836977 2.388334 0.001278 0.890104 0.143641 86216.324538 5208.518646 1.969651 2.321427 0.002044 0.874768 0.136429 -999.000000 -999.000000 -999.000000 3.953450 -999.000000 -999.000000 -999.000000 
33511.089647 2296.142028 4.055237 2.371122 0.001344 0.875395 0.367609 156542.414079 4962.728157 2.077994 2.445610 0.001993 0.876914 0.355339 -999.000000 -999.000000 -999.000000 3.873623 -999.000000 -999.000000 -999.000000 
4719.871781 252.287759 3.965581 2.568213 0.001505 0.870517 0.770144 13471.862599 426.230870 2.122839 2.610792 0.001979 0.872372 0.763495 -999.000000 -999.000000 -999.000000 3.696387 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 3.356955 -999.000000 -999.000000 -999.000000 114608.812863 16542.357239 8.811662 3.123513 0.003697 0.022572 0.033612 36280852.321891 294324.983871 3.702877 2.799465 0.005306 0.011695 0.035114 
-999.000000 -999.000000 -999.000000 3.728799 -999.000000 -999.000000 -999.000000 308011.184569 15657.088431 8.725615 3.049516 0.003594 0.022292 0.129432 175135000.366952 373348.348682 3.537717 2.820772 0.005352 0.009459 0.132984 
-999.000000 -999.000000 -999.000000 4.683114 -999.000000 -999.000000 -999.000000 37407.043087 3858.241900 8.985857 3.183070 0.003527 0.023092 0.241859 126691685.727260 224536.433730 3.603092 2.811459 0.005329 0.010386 0.320120 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.397711 -999.000000 -999.000000 -999.000000 2980750.098109 10083.287537 3.831353 2.794050 0.005245 0.012623 0.665397 
-999.000000 -999.000000 -999.000000 3.196345 -999.000000 -999.000000 -999.000000 2158465.975583 71789.510473 7.051799 3.468830 0.004372 0.039761 0.031837 14392956.748691 185380.222255 2.993298 2.871017 0.005643 0.035371 0.032923 
34223.464952 5219.029477 8.741344 3.245720 0.003656 0.043642 0.121002 4230975.341520 58029.390371 7.197216 2.819722 0.004252 0.039310 0.129340 48536832.247411 196545.667651 2.862724 2.759831 0.005595 0.035549 0.133689 
-999.000000 -999.000000 -999.000000 3.831205 -999.000000 -999.000000 -999.000000 1625614.585225 25434.403496 7.678969 2.843270 0.004051 0.040921 0.285487 46074334.559927 135407.368749 2.981412 2.675798 0.005501 0.035992 0.330660 
-999.000000 -999.000000 -999.000000 4.916442 -999.000000 -999.000000 -999.000000 3172.208213 328.942668 8.705842 3.027594 0.003552 0.045001 0.557273 1730695.403526 7683.333571 3.117551 2.614277 0.005407 0.036379 0.706672 
-999.000000 -999.000000 -999.000000 3.076911 -999.000000 -999.000000 -999.000000 1898208.463041 47604.207897 5.716728 3.419852 0.004965 0.070469 0.032542 3494374.950516 64588.937776 2.293982 3.019635 0.005831 0.067906 0.032989 
130128.756271 7196.136665 7.148647 3.022964 0.003881 0.075069 0.159973 5490876.388477 46744.831282 5.663996 2.897696 0.004888 0.074219 0.132580 15336091.771208 78121.417070 2.326296 2.832050 0.005736 0.069425 0.137727 
55314.670097 3317.553450 8.031757 3.336043 0.004253 0.085313 0.253497 3870435.117722 27750.937613 6.199224 2.802759 0.004714 0.076275 0.310559 19897363.344242 62920.987600 2.587126 2.747441 0.005623 0.070811 0.336627 
-999.000000 -999.000000 -999.000000 3.952824 -999.000000 -999.000000 -999.000000 43643.445255 862.747847 7.429178 2.880523 0.004243 0.080839 0.617049 924562.255075 3970.932002 2.969800 2.664575 0.005488 0.071994 0.727580 
-999.000000 -999.000000 -999.000000 2.766830 -999.000000 -999.000000 -999.000000 463608.565921 9604.471920 3.844645 2.896608 0.005138 0.199280 0.033267 227227.889391 6724.013591 1.837430 3.387041 0.006407 0.155867 0.033716 
7826.296249 720.468968 6.416635 2.765192 0.003525 0.120607 0.175723 2006649.093267 11536.467702 3.908801 2.874117 0.005139 0.199052 0.136398 1249886.040741 9104.840597 1.892292 3.218678 0.006121 0.157679 0.141632 
86487.206003 1693.550197 5.732233 2.931119 0.004273 0.188079 0.355670 2388612.144932 8900.101473 4.186996 2.805586 0.005157 0.211926 0.334194 2569578.664548 9231.092417 2.106830 2.975437 0.005891 0.170067 0.351112 
3049.981553 93.110220 6.274880 3.265588 0.004774 0.281965 0.641330 83398.377217 486.886290 5.040825 2.856070 0.005061 0.238543 0.691682 202012.245073 757.770323 2.475644 2.817809 0.005691 0.187602 0.777914 
-999.000000 -999.000000 -999.000000 2.387055 -999.000000 -999.000000 -999.000000 45365.988425 2601.917882 2.829975 2.493551 0.005327 0.530883 0.031952 4476.906752 817.367605 1.836574 4.174230 0.007905 0.527127 0.029109 
-999.000000 -999.000000 -999.000000 2.464376 -999.000000 -999.000000 -999.000000 205241.302896 3195.215477 3.023401 2.602309 0.005269 0.523615 0.139136 31338.347267 1248.549641 1.798078 3.930627 0.007281 0.515089 0.139251 
795.894534 140.695605 1.861755 2.517022 0.003832 0.448439 0.459092 343204.645984 2921.657822 3.160042 2.648417 0.005237 0.524382 0.349139 93990.170097 1528.952487 1.819578 3.618899 0.006529 0.512795 0.364435 
1114.962967 48.753927 4.233379 2.808633 0.004494 0.509301 0.819864 24791.404107 229.895219 3.752650 2.851718 0.005282 0.538793 0.750032 13818.718843 171.637930 2.003315 3.325103 0.006071 0.518695 0.856366 
-999.000000 -999.000000 -999.000000 1.984110 -999.000000 -999.000000 -999.000000 5969.209003 1334.755710 2.924180 2.512740 0.005366 0.855456 0.037061 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.388334 -999.000000 -999.000000 -999.000000 22484.020579 1495.614802 2.704073 2.321427 0.005322 0.884157 0.141420 3084.091318 553.919153 1.966993 3.953450 0.007886 0.870463 0.144614 
-999.000000 -999.000000 -999.000000 2.371122 -999.000000 -999.000000 -999.000000 39844.470097 1407.835128 2.786412 2.445610 0.005260 0.877889 0.348636 7411.767846 607.195681 1.775890 3.873623 0.007057 0.866896 0.363353 
-999.000000 -999.000000 -999.000000 2.568213 -999.000000 -999.000000 -999.000000 3671.063537 125.109511 3.171509 2.610792 0.005312 0.870732 0.738911 1100.039945 68.485496 1.885601 3.696387 0.006514 0.868065 0.792286 
-999.000000 -999.000000 -999.000000 3.356955 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.123513 -999.000000 -999.000000 -999.000000 2478499.069778 43263.282944 5.748193 2.799465 0.015522 0.013401 0.034662 
-999.000000 -999.000000 -999.000000 3.728799 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.049516 -999.000000 -999.000000 -999.000000 12890410.356001 56963.653482 5.615944 2.820772 0.015573 0.010748 0.133103 
-999.000000 -999.000000 -999.000000 4.683114 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.183070 -999.000000 -999.000000 -999.000000 8756431.991850 33198.086797 5.631524 2.811459 0.015461 0.011842 0.317590 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.397711 -999.000000 -999.000000 -999.000000 181545.148195 1399.485474 5.804740 2.794050 0.015243 0.014629 0.652103 
-999.000000 -999.000000 -999.000000 3.196345 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.468830 -999.000000 -999.000000 -999.000000 1575304.405715 34491.123058 5.497914 2.871017 0.015730 0.036373 0.032012 
-999.000000 -999.000000 -999.000000 3.245720 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 2.819722 -999.000000 -999.000000 -999.000000 4749827.234170 34578.278753 5.401531 2.759831 0.015816 0.035945 0.133304 
-999.000000 -999.000000 -999.000000 3.831205 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 2.843270 -999.000000 -999.000000 -999.000000 4045118.911415 22563.949183 5.364650 2.675798 0.015749 0.036184 0.328051 
